"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"23","288.7298308548556","17.56552758489861","5.00535682975774","-0.3072039956935684","0.0353","0.03539999999999999","0.0352","4000","0.0003023487134832056","0","0.0003023487134832056","0.0003023487134832056","23_22:0.009267525796798431","23_22:660","true"
"24","232.72536393690825","277.086506581729","5.073617288106284","-0.3058968992654708","0.030200000000000005","0.030200000000000005","0.0302","4000","0.0002640264924489326","0","0.0002640264924489326","0.0002640264924489326","24_23:0.00819363672318138","24_23:660","true"
"25","151.09053376029044","146.69685622411265","5.1640018944149","-0.3053687262921275","0.024699999999999944","0.025800000000000045","0.0236","4000","0.0005282954413858203","0","0.0005282954413858203","0.0005282954413858203","25_26:0.012691034057577988;25_24:0.012353780030588235","25_26:660;25_24:660","true"
"26","187.1686819716742","168.80563184658277","5.135118517198879","-0.3053120798456737","0.028000000000000025","0.018399999999999972","0.0376","4000","0.000527206708691274","0","0.000527206708691274","0.000527206708691274","26_16:0.013238683815198743","26_16:660","true"
"27","178.87562481672006","134.20777603949125","5.052710357532104","-0.3058824603800633","0.03869999999999996","0.0464","0.031","4000","0.0004130762209335967","0","0.0004130762209335967","0.0004130762209335967","27_28:0.011394889848321155;27_26:0.007868489634273002","27_28:660;27_26:660","true"
"28","72.59164994855556","72.77647959438467","4.929100772673195","-0.3083409778897531","0.012199999999999989","0.0156","0.00880000000000003","4000","0.0007068583810579657","0","0.0007068583810579657","0.0007068583810579657","28_35:0.01101243240366212;28_29:0.01367112871585377","28_35:660;28_29:660","true"
"29","181.32888544376837","176.15999924631828","5.071363245473416","-0.30550874234871866","0.017900000000000027","0.0198","0.016000000000000014","4000","0.00039024008051665165","0","0.00039024008051665165","0.00039024008051665165","","","true"
"30","195.58907098888167","34.590756016378165","5.021502733176823","-0.3062517153077745","0.14470000000000005","0.1516","0.13780000000000003","4000","0.000530046896692299","0","0.000530046896692299","0.000530046896692299","30_31:0.010561324656154086;30_29:0.015213756769927811","30_31:660;30_29:660","true"
"31","202.48855121635626","79.10387977845703","5.096812367029743","-0.30591581288189656","0.01529999999999998","0.01539999999999997","0.0152","4000","0.00024164132715957272","0","0.00024164132715957272","0.00024164132715957272","","","true"
"32","205.86502876413167","216.39387345386285","5.2530808654501335","-0.30210245828133586","0.016699999999999937","0.018000000000000016","0.0154","4000","0.0002336167880624004","0","0.0002336167880624004","0.0002336167880624004","32_31:0.011444631428840835;32_36:0.00635097963819059","32_31:660;32_36:660","true"
"33","124.54386459485707","129.05291846206632","4.913075216630533","-0.30832067124143364","0.02310000000000001","0.022399999999999975","0.0238","4000","0.0002637901911994705","0","0.0002637901911994705","0.0002637901911994705","33_39:0.008846218031618558","33_39:660","true"
"34","286.7188406771445","141.0479822463159","4.935356592642218","-0.30814684914853196","0.02849999999999997","0.027599999999999958","0.0294","4000","0.00020067336419006326","0","0.00020067336419006326","0.00020067336419006326","34_24:0.005534323914268363;34_43:1","34_24:660;34_43:660","true"
"35","241.84025640675435","104.68876623968262","4.8163985427087255","-0.3106460390864426","0.03370000000000006","0.0372","0.030200000000000005","4000","0.0002236136878112048","0","0.0002236136878112048","0.0002236136878112048","","","true"
"36","182.28342045538642","178.97588797539234","5.134387711025351","-0.30423992906882386","0.01090000000000002","0.0158","0.006000000000000005","4000","0.00025707000308802916","0","0.00025707000308802916","0.00025707000308802916","36_51:0.008927419295663125","36_51:660","true"
"37","229.48165929859962","246.63036468574617","5.00654617260446","-0.30666910558533245","0.16159999999999997","0.2174","0.1058","4000","0.09375025859493269","0","0.09375025859493269","0.09375025859493269","37_52:0.13901282496997788;37_38:1","37_52:660;37_38:660","true"
"38","267.8167050554807","28.18649075196167","4.8254928378023205","-0.31068680360173245","0.09630000000000005","0.0938","0.0988","4000","0.00022780333013065385","0","0.00022780333013065385","0.00022780333013065385","38_39:0.008791615465851249","38_39:660","true"
"39","211.25374173147858","98.48108131288902","5.019322756373184","-0.307076974162903","0.13749999999999996","0.14559999999999995","0.1294","4000","0.0022821381213016623","0","0.0022821381213016623","0.0022821381213016623","","","true"
"40","300.96877201975036","349.20086107900227","5.084623817140826","-0.3061975887621035","0.00990000000000002","0.008399999999999963","0.0114","4000","0.0003404689641097524","0","0.0003404689641097524","0.0003404689641097524","40_39:0.01627425844325711;40_41:0.009973489762075322","40_39:660;40_41:660","true"
"41","177.78475521464136","285.9097813604733","4.9534840681194945","-0.30833115586805115","0.012699999999999934","0.012199999999999989","0.0132","4000","0.00020847449642894705","0","0.00020847449642894705","0.00020847449642894705","41_53:0.0062176582750023135;41_42:0.011824546940550046","41_53:660;41_42:660","true"
"42","190.9231640144428","184.51330814742371","5.091922030584266","-0.3062199111611784","0.023800000000000043","0.025","0.022599999999999953","4000","0.0006515893367750663","0","0.0006515893367750663","0.0006515893367750663","42_43:1","42_43:660","true"
"43","221.2570093902742","278.8596992789779","4.869723697163033","-0.3094094192800075","0.4733333333333334","0.76","0.18666666666666668","4000","0.00020609618982725283","0","0.00020609618982725283","0.00020609618982725283","43_44:1","43_44:660","true"
"44","331.08764254088175","78.29791154000807","5.023547137685331","-0.3073323285282485","0.012499999999999956","0.0094","0.015599999999999947","4000","0.00019677432618823783","0","0.00019677432618823783","0.00019677432618823783","","","true"
"45","177.80024385048995","124.91833570954925","5.112462397789221","-0.30507649755637556","0.0343","0.022399999999999975","0.0462","4000","0.00020972803322793368","0","0.00020972803322793368","0.00020972803322793368","45_44:0.005971373128341506;45_46:0.012726009503064933","45_44:660;45_46:660","true"
"46","233.684433611498","283.21900949945814","4.966511764373321","-0.3079705749190589","0.009299999999999975","0.0102","0.008399999999999963","4000","0.00024168904245536774","0","0.00024168904245536774","0.00024168904245536774","46_47:1","46_47:660","true"
"47","351.3819512505171","274.3161684610636","4.878199292409942","-0.30980628193792015","0.4733333333333334","0.7366666666666667","0.21","4000","0.00014532481383549228","0","0.00014532481383549228","0.00014532481383549228","47_35:1","47_35:660","true"
"48","308.3919415696286","233.5469156900653","5.023734521408494","-0.30604770148185606","0.021300000000000097","0.0228","0.01980000000000004","4000","0.0002348924016353071","0","0.0002348924016353071","0.0002348924016353071","48_47:1","48_47:660","true"
"49","7.786347147055743","18.565892550521955","5.09523567787246","0","0.02980000000000005","0.0298","0.02980000000000005","4000","0.0012869700656469823","0","0.0012869700656469823","0.0012869700656469823","49_48:0.02296994180740461","49_48:660","true"
"50","208.0645342589461","17.18400204214913","5.18648248688187","-0.3039883515773636","0.0121","0.011600000000000055","0.0126","4000","0.0008193050066146656","0","0.0008193050066146656","0.0008193050066146656","50_51:0.022300565638546987;50_49:0.0305956177915869","50_51:660;50_49:660","true"
"51","106.61507636759518","115.08393431423892","5.027678240445588","-0.30572820603279416","0.05559999999999998","0.06699999999999995","0.0442","4000","0.0003749533548703792","0","0.0003749533548703792","0.0003749533548703792","","","true"
