"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"112","155.1123025474912","155.31195031828761","5.137999331448211","-0.30356663279378454","0.01529999999999998","0.0184","0.012199999999999989","4000","0.00019625151008662261","0","0.00019625151008662261","0.00019625151008662261","112_108:0.010070587051121821","112_108:660","true"
"113","188.97169884537342","240.16757264061127","5.250308597697059","-0.30334946481790825","0.021199999999999997","0.0222","0.020199999999999996","4000","0.0003129148737094211","0","0.0003129148737094211","0.0003129148737094211","113_114:0.00729166939155218","113_114:660","true"
"114","176.08068702802166","67.63062297364306","5.1502992065082935","-0.30375658324326477","0.014499999999999957","0.01639999999999997","0.0126","4000","0.00034493725020985047","0","0.00034493725020985047","0.00034493725020985047","114_109:0.00718486363741086","114_109:660","true"
"115","231.5712347717326","162.70913144949608","5.245941042920638","-0.3025355264793927","0.04259999999999997","0.03939999999999999","0.0458","4000","0.0004887135826465571","0","0.0004887135826465571","0.0004887135826465571","115_114:0.012422447426555405","115_114:660","true"
"116","148.37484701035484","161.5336437827918","5.334755469775941","-0.3011566056527044","0.02100000000000002","0.0182","0.023800000000000043","4000","0.000390471496965928","0","0.000390471496965928","0.000390471496965928","116_117:0.011102066471783967;116_115:0.008625717840158698","116_117:660;116_115:660","true"
"117","145.54710202313436","108.11324488351758","5.304694119875305","-0.29302977381195444","0.020299999999999985","0.018399999999999972","0.0222","4000","0.00047548627590329403","0","0.00047548627590329403","0.00047548627590329403","","","true"
"118","128.58241206423915","173.60353208502056","5.069763582050364","-0.3061603334380948","0.06289999999999996","0.07579999999999998","0.05","4000","0.0010091224052770085","0","0.0010091224052770085","0.0010091224052770085","118_117:0.015399405246098036;118_110:0.008259043711354691","118_117:660;118_110:660","true"
"119","222.65573395316045","308.0512561753326","5.148121737274762","0","0.005099999999999993","0.006800000000000028","0.0034","4000","0.000146965902546289","0","0.000146965902546289","0.000146965902546289","119_118:0.010318005890174675;119_120:0.006351184227633783","119_118:660;119_120:660","true"
"120","177.811888284186","194.00098363952839","5.250086024222102","-0.30225445919068583","0.03059999999999996","0.03259999999999996","0.0286","4000","0.0002114038103880415","0","0.0002114038103880415","0.0002114038103880415","120_121:0.0056548101692148744","120_121:660","true"
"121","206.68387792679997","251.49899449699927","5.069424254298799","-0.306028589316361","0.005600000000000049","0.0082","0.0030000000000000027","4000","0.00017960286430231308","0","0.00017960286430231308","0.00017960286430231308","","","true"
"122","143.83869039842995","123.3432930502673","5.279806831360448","-0.3016726166584377","0.02069999999999994","0.02","0.021399999999999975","4000","0.0003410701518066515","0","0.0003410701518066515","0.0003410701518066515","122_123:0.009471012389810352;122_121:0.00617752357883633","122_123:660;122_121:660","true"
"123","182.0099642609266","116.14642209087035","5.203828404941389","-0.3031041353587323","0.029200000000000004","0.026000000000000023","0.0324","4000","0.0003345642729526066","0","0.0003345642729526066","0.0003345642729526066","123_124:0.011125661414485566","123_124:660","true"
"124","150.98520900198181","129.95519659987255","5.092662315879097","-0.30406410381138455","0.006699999999999928","0.0084","0.0050000000000000044","4000","0.00030203088268072225","0","0.00030203088268072225","0.00030203088268072225","","","true"
"125","157.05087785782064","49.84940847139352","5.184837323207616","-0.3034458047748505","0.007099999999999995","0.011199999999999988","0.003","4000","0.00038605066851482296","0","0.00038605066851482296","0.00038605066851482296","125_124:0.011697485548975872","125_124:660","true"
"126","91.79979342975308","41.810267613011476","5.2754856207877845","-0.3020387420211857","0.03210000000000002","0.03759999999999997","0.0266","4000","0.0004848962208335101","0","0.0004848962208335101","0.0004848962208335101","126_125:0.01585795344772914;126_112:0.00899406164361602","126_125:660;126_112:660","true"
